bbox,data,file_path,filename,orientation,polygon,quality,type
"(40, 40, 210, 210)",1002,qr_data/1002-v1.png,1002-v1.png,UP,"[(40, 40), (40, 250), (250, 250), (250, 40)]",1,qr
"(42, 42, 247, 247)",1002,qr_data/1002-v2.png,1002-v2.png,UP,"[(42, 42), (42, 287), (289, 289), (287, 42)]",1,qr
"(39, 39, 292, 292)",1002,qr_data/1002-v3.png,1002-v3.png,UP,"[(39, 39), (39, 330), (331, 331), (330, 39)]",1,qr
"(40, 40, 330, 330)",1002,qr_data/1002-v4.png,1002-v4.png,UP,"[(40, 40), (40, 369), (370, 370), (369, 40)]",1,qr
"(40, 40, 210, 210)",1011,qr_data/1011-v1.png,1011-v1.png,UP,"[(40, 40), (40, 250), (250, 250), (250, 40)]",1,qr
"(42, 42, 247, 247)",1011,qr_data/1011-v2.png,1011-v2.png,UP,"[(42, 42), (42, 287), (289, 289), (287, 42)]",1,qr
"(39, 39, 292, 292)",1011,qr_data/1011-v3.png,1011-v3.png,UP,"[(39, 39), (39, 330), (331, 331), (330, 39)]",1,qr
"(40, 40, 330, 330)",1011,qr_data/1011-v4.png,1011-v4.png,UP,"[(40, 40), (40, 369), (370, 370), (369, 40)]",1,qr
"(40, 40, 210, 210)",1015,qr_data/1015-v1.png,1015-v1.png,UP,"[(40, 40), (40, 250), (250, 250), (250, 40)]",1,qr
"(42, 42, 247, 247)",1015,qr_data/1015-v2.png,1015-v2.png,UP,"[(42, 42), (42, 287), (289, 289), (287, 42)]",1,qr
"(39, 39, 292, 292)",1015,qr_data/1015-v3.png,1015-v3.png,UP,"[(39, 39), (39, 330), (331, 331), (330, 39)]",1,qr
"(40, 40, 330, 330)",1015,qr_data/1015-v4.png,1015-v4.png,UP,"[(40, 40), (40, 369), (370, 370), (369, 40)]",1,qr
"(40, 40, 210, 210)",1026,qr_data/1026-v1.png,1026-v1.png,UP,"[(40, 40), (40, 250), (250, 250), (250, 40)]",1,qr
"(42, 42, 247, 247)",1026,qr_data/1026-v2.png,1026-v2.png,UP,"[(42, 42), (42, 287), (289, 289), (287, 42)]",1,qr
"(39, 39, 292, 292)",1026,qr_data/1026-v3.png,1026-v3.png,UP,"[(39, 39), (39, 330), (331, 331), (330, 39)]",1,qr
